id;content;date;ranking;user_id;post_id
1;magnetic synthesize models;2020-09-26T20:29:23;82435;2;1
2;Lodge methodologies;2020-09-27T02:07:06;6538;2;2
3;Niger incubate Forward;2020-09-27T04:07:25;20107;1;3
4;overriding;2020-09-27T11:35:01;46216;2;4
5;Computer;2020-09-26T18:50:25;77664;1;5
6;Tools;2020-09-27T07:55:57;52787;1;6
7;Central Small;2020-09-27T02:14:26;33032;1;7
8;South Africa;2020-09-27T06:06:06;25024;2;8
9;scalable Avon Dominican Republic;2020-09-27T12:53:35;23990;2;9
10;convergence;2020-09-27T13:51:39;91714;2;10
